section;domaine;score;titre;auteurs;pays_africains;revue;date;type;doi;lien_pdf;lien_page;source
1;env;12;Design and Implementation of a Low-Cost IoT Model for Real-Time Water Quality Monitoring in Resource-Constrained Environments;"Samson Otieno Ooko; Laura Cheptegei; Simon Karume";ke;MUST Journal of Research and Development.;2026-09-15;article;https://doi.org/10.62277/mjrd2026v7i30011;https://mjrd.must.ac.tz/index.php/mjrd/article/download/947/233;https://doi.org/10.62277/mjrd2026v7i30011;OpenAlex
1;env;11;A TinyML model for real-time water quality monitoring in resource-constrained distribution networks;"Samson Otieno Ooko; Laura Cheptegei; Simon Karume";ke;Water Practice & Technology;2026-09-07;article;https://doi.org/10.2166/wpt.2026.435;;https://doi.org/10.2166/wpt.2026.435;OpenAlex
1;env;11;Integrating electrical resistivity tomography–derived metrics with ensemble machine learning to predict the depth-to-water in earthen levees;"Ahmed M. Ali; Attila Tímár; James P. Boyd; Károly Barta; Enas Abdelsamei; Diaa Sheishah; Alexandru Hegyi; Viktória Blanka-Végi; György Sípos";eg;Engineering Geology;2026-09-14;article;https://doi.org/10.1016/j.enggeo.2026.109088;;https://doi.org/10.1016/j.enggeo.2026.109088;OpenAlex
1;env;10;Geospatial Development of the Tree Lucerne— A Case of Limpopo and Mpumalanga Province, South Africa;"K. Ndwambi; Azwihangwisi Edward Nesamvuni; N.S. Mpandeli; Khathutshelo Alfred Tshikolomo; J.A. Van Niekerk; S. Hlophe-Gininza; Luxon Nhamo";za;Suid-Afrikaanse tydskrif vir landbouvoorligting/South African journal of agricultural extension;2026-09-14;article;https://doi.org/10.17159/2413-3221/2026/v54n6a21401;;https://doi.org/10.17159/2413-3221/2026/v54n6a21401;OpenAlex
1;env;10;Groundwater Utilization Quality and Treatment Method In Urban Areas;Gebrehiwet Hadush Hagos;et;Journal of Climate Change and Pollution;2026-09-07;article;https://doi.org/10.67238/jccc.2026.v2.si1.01;https://www.confmeets.com/journals/jccc/articles/JCCC-26-7862-7.pdf;https://doi.org/10.67238/jccc.2026.v2.si1.01;OpenAlex
1;env;9;Reducing nitrate loads to the St. Lawrence river could mitigate hypoxia and acidification in its deep estuary and Gulf;"David Lévesque; Diane Lavoie; Aude Boivin-Rioux; Antoine Caron; Dominic Vachon; Olivier G. J. Riche; Armelle G. Simo Matchim; Julie Doucet; Bernard Patry; Michel Patoine; Richard A. LaBrie; Michel Starr";sn;Environmental Research Letters;2026-09-11;article;https://doi.org/10.1088/1748-9326/aea62d;https://iopscience.iop.org/article/10.1088/1748-9326/aea62d/pdf;https://doi.org/10.1088/1748-9326/aea62d;OpenAlex
1;env;9;S-GRHyMoLAP: A stochastic extension of the GRHyMoLAP model with different diffusion mechanisms for probabilistic rainfall-runoff modeling;"Sianou Ezéckiel Houénafa; Lionel Cédric Gohouede; Romuald Daniel BOY-NGBOGBELE; Melissa Latella; Olatunji Olugoke Johnson; Cenk Sezen";ke,za;Journal of Hydrology;2026-09-18;article;https://doi.org/10.1016/j.jhydrol.2026.136449;;https://doi.org/10.1016/j.jhydrol.2026.136449;OpenAlex
1;env;6;A global dataset of soil microplastics (2005–2026);"Peiwen Wu; Yang Su; Mengru Wang; Xiahui Wang; Matthias C. Rillig; Xiahui Wang; Ruiping Liu; Su Ye; Lianqing Zhou; Zhou Shi; Songchao Chen";bi;Earth System Science Data Discussions;2026-09-24;preprint;https://doi.org/10.5194/essd-2026-536;;https://doi.org/10.5194/essd-2026-536;OpenAlex
1;env;6;Assessment of Groundwater Quality Using the Water Quality Index (WQI) in Woreillu Town, Ethiopia.;Asfaw MD;?;International journal of analytical chemistry;2026-09-22;article;https://doi.org/10.1155/ianc/5172216;;https://pubmed.ncbi.nlm.nih.gov/42775234/;PubMed
1;env;6;Duration-dependent mild heat stress attenuates mercury-induced Neuroreproductive and oxidative toxicity in Drosophila melanogaster via hormetic mechanisms.;"Olatomide OD; Hamed MA; Arogundade TT; Ajayi FO; Adeyemo KE; Bailey IR; Omodara OO; Johnson-Dedeigbo DD; Emegoako PC; Karunwi OS; Omotoso DR";?;Biometals : an international journal on the role of metal ions in biology, biochemistry, and medicine;2026-09-24;article;https://doi.org/10.1007/s10534-026-00887-7;;https://pubmed.ncbi.nlm.nih.gov/42782463/;PubMed
1;env;4;Microplastics and Nanoplastics in Humans: A Critical ADME Appraisal and the Case for Quantitative Risk Assessment.;Aderinmola JO;?;Toxicology mechanisms and methods;2026-09-25;review;https://doi.org/10.1080/15376516.2026.2739342;;https://pubmed.ncbi.nlm.nih.gov/42786943/;PubMed
1;env;4;The impact of climate change on maternal and child health outcomes in sub-Saharan Africa: A five-year (2020-2024) scoping review.;"Fadeyi O; Igbokwe U; Sampson I; Raheem O; Ezeogu E; Omidiran Y; Adetunde O; Aigbogun E Jr";?;The journal of climate change and health;2026-09-16;review;https://doi.org/10.1016/j.joclim.2026.100723;;https://pubmed.ncbi.nlm.nih.gov/42780333/;PubMed
1;env;3;Assessment of leached heavy metals from construction and demolition waste.;"Agyapong F; Koomson B; Kwofie S; Gidigasu SSR; Gyamfi C";?;Environmental monitoring and assessment;2026-09-23;article;https://doi.org/10.1007/s10661-026-15868-z;;https://pubmed.ncbi.nlm.nih.gov/42773360/;PubMed
1;env;3;Combined Bifidobacterium bifidum and Bacillus toyonensis supplementation in drinking water improves productive efficiency, physiological status, and meat quality in broiler chickens.;"Ibrahim AI; Rashwan AA; Gomaa AAM; Abou-Kassem DE; Alharbi NK; Aloufi AS; Al-Hoshani N; Alwutayd KM; Das SC; Alshehri F";?;Poultry science;2026-09-21;article;https://doi.org/10.1016/j.psj.2026.107807;;https://pubmed.ncbi.nlm.nih.gov/42777364/;PubMed
1;env;3;From Soil Contamination to Internal Metal Burden: Drivers of Fe, Cu and Zn Bioaccumulation in Tropical Achatininae Across a Peri-Urban Contamination Gradient (Abidjan, Côte d'Ivoire).;"Kouadio GA; Louzon M; Memel JD; Katta EL";?;Archives of environmental contamination and toxicology;2026-09-24;article;https://doi.org/10.1007/s00244-026-01222-4;;https://pubmed.ncbi.nlm.nih.gov/42782357/;PubMed
1;env;3;Integrated metabolomic and physiological profiling reveals mechanisms of drought tolerance in soybean.;"Abdullah MI; Lamlom SF; Emwas AH; Jaremko M; Abdelsalam NR";?;Journal of the science of food and agriculture;2026-09-22;article;https://doi.org/10.1002/jsfa.71086;;https://pubmed.ncbi.nlm.nih.gov/42773639/;PubMed
1;env;3;Leveraging GIS-based multi-criteria analysis for flood-prone area detection in Nsanje District, Malawi.;"Bakolo C; Ngwira L; Nazombe K; Bukani VI; Chapita K; Chilonga D; Tholo HM; Chisenga C; Nyengere J";?;PloS one;2026-09-24;article;https://doi.org/10.1371/journal.pone.0358998;;https://pubmed.ncbi.nlm.nih.gov/42784563/;PubMed
